,id,year,winner,second,third,winner_origin,winning_team,age,winner_chrono,winner_timedelta,winner_seconds,second_seconds,third_seconds,average_speed,num_runners,total_length,num_stages,debut_date,end_date,first_mountain,first_mountain_origin,second_mountain,second_mountain_origin,third_mountain,third_mountain_origin,first_mountain_points,second_mountain_points,third_mountain_points,first_sprint,first_sprint_origin,second_sprint,second_sprint_origin,third_sprint,third_sprint_origin,first_sprint_points,second_sprint_points,third_sprint_points
94,94,2008,Carlos Sastre,Cadel Evans,Bernhard Kohl,Spain,CSC-Saxo Bank,33,87hr 52min 52sec,3 days 15:52:52.000000000,316372.0,58.0,73.0,40.492,180,3558,21,2008-07-05,2008-07-27,Bernard Kohl,Autriche,Carlos Sastre,Espagne,Fränk Schleck,Luxembourg,120.0,80.0,80.0,Oscar Freire,Espagne,Thor Hushovd,Norvège,Erik Zabel,Allemagne,270.0,220.0,217.0
95,95,2009,Alberto Contador,Andy Schleck,Lance Armstrong,Spain,Astana,26,85hr 48min 35sec,3 days 13:48:35.000000000,308915.0,251.0,361.0,40.315,180,3459,21,2009-07-04,2009-07-26,Franco Pellizotti,Italie,Egoi Martinez,Espagne,Alberto Contador,Espagne,210.0,135.0,126.0,Thor Hushovd,Norvège,Mark Cavendish,Royaume-Uni,Gerald Ciolek,Allemagne,280.0,270.0,172.0
96,96,2010,Alberto Contador,Denis Menchov,Samuel Sánchez,Luxembourg,Saxo Bank,27,91hr 58min 48sec,3 days 19:58:48.000000000,331128.0,39.0,121.0,39.896,197,3642,21,2010-07-03,2010-07-25,Anthony Charteau,France,Christophe Moreau,France,Andy Schleck,Luxembourg,143.0,128.0,116.0,Alessandro Petacchi,Italie,Mark Cavendish,Royaume-Uni,Thor Hushovd,Norvège,243.0,232.0,222.0
97,97,2011,Cadel Evans,Andy Schleck,Frank Schleck,Australia,BMC,34,86hr 12min 22sec,3 days 14:12:22.000000000,310342.0,94.0,150.0,39.788,198,3430,21,2011-07-02,2011-07-24,Samuel Sánchez,Espagne,Andy Schleck,Luxembourg,Jelle Vanendert,Belgique,108.0,98.0,74.0,Mark Cavendish,Royaume-Uni,José Joaquin Rojas,Espagne,Philippe Gilbert,Belgique,334.0,272.0,236.0
98,98,2012,Bradley Wiggins,Christopher Froome,Vincenzo Nibali,Great Britain,Sky,32,87hr 34min 47sec,3 days 15:34:47.000000000,315287.0,201.0,379.0,39.9,198,3494,22,2012-06-30,2012-07-22,Thomas Voeckler,France,Fredrik Kessiakoff,Suède,Chris Anker Sørensen,Danemark,135.0,123.0,77.0,Peter Sagan,Slovaquie,André Greipel,Allemagne,Matthew Goss,Australie,421.0,280.0,268.0
99,99,2013,Christopher Froome,Nairo Quintana,Joaquin Rodriguez,Great Britain,Sky,28,83hr 56min 40sec,3 days 11:56:40.000000000,302200.0,260.0,304.0,40.542,198,3404,21,2013-06-29,2013-07-21,Nairo Quintana,Colombie,Christopher Froome,Royaume-Uni,Pierre Rolland,France,147.0,136.0,117.0,Peter Sagan,Slovaquie,Mark Cavendish,Royaume-Uni,André Greipel,Allemagne,409.0,312.0,267.0
100,100,2014,Vincenzo Nibali,Jean-Christophe Peraud,Thibaut Pinot,Great Britain,Sky,29,89hr 59min 6sec,3 days 17:59:06.000000000,323946.0,457.0,495.0,40.679,198,3660,21,2014-07-05,2014-07-27,Rafał Majka,Pologne,Vincenzo Nibali,Italie,Joaquim Rodriguez,Espagne,181.0,168.0,112.0,Peter Sagan,Slovaquie,Alexander Kristoff,Norvège,Bryan Coquard,France,431.0,282.0,271.0
101,101,2015,Christopher Froome,Nairo Quintana,Alejandro Valverde,Great Britain,Sky,30,84hr 46min 14sec,3 days 12:46:14.000000000,305174.0,72.0,325.0,39.567,198,3360,21,2015-07-04,2015-07-26,Christopher Froome,Royaume-Uni,Nairo Quintana,Colombie,Romain Bardet,France,119.0,108.0,90.0,Peter Sagan,Slovaquie,André Greipel,Allemagne,John Degenkolb,Allemagne,432.0,366.0,298.0
102,102,2016,Christopher Froome,Romain Bardet,Nairo Quintana,Great Britain,Sky,31,89hr 4min 48sec,3 days 17:04:48.000000000,320688.0,245.0,261.0,39.616,198,3529,21,2016-07-02,2016-07-24,Rafał Majka,Pologne,Thomas De Gendt,Belgique,Jarlinson Pantano,Colombie,209.0,130.0,121.0,Peter Sagan,Slovaquie,Marcel Kittel,Allemagne,Michael Matthews,Australie,470.0,228.0,199.0
103,103,2017,Christopher Froome,Rigoberto Uran,Romain Bardet,Great Britain,Sky,32,86hr 20min 55sec,3 days 14:20:55.000000000,310855.0,54.0,140.0,40.996,198,3540,21,2017-07-01,2017-07-23,Warren Barguil,France,Primož Roglič,Slovénie,Thomas De Gendt,Belgique,169.0,80.0,65.0,Michael Matthews,Australie,André Greipel,Allemagne,Edvald Boasson Hagen,Norvège,370.0,234.0,220.0
104,104,2018,Geraint Thomas,Tom Dumoulin,Chris Froome,Great Britain,Sky,32,83hr 17min 13sec,3 days 11:17:13.000000000,299833.0,111.0,144.0,40.234,176,3351,21,2018-07-07,2018-07-29,Julian Alaphilippe,France,Warren Barguil,France,Rafał Majka,Pologne,170.0,91.0,76.0,Peter Sagan,Slovaquie,Alexander Kristoff,Norvège,Arnaud Démare,France,477.0,246.0,203.0
105,105,2019,Egan Bernal,Geraint Thomas,Steven Kruijswijk,Columbia,INEOS,22,82hr 57min 0sec,3 days 10:57:00.000000000,298620.0,71.0,91.0,40.576,176,3366,22,2019-07-06,2019-07-28,Romain Bardet,France,Egan Bernal,Colombie,Tim Wellens,Belgique,86.0,78.0,75.0,Peter Sagan,Slovaquie,Caleb Ewan,Australie,Elia Viviani,Italie,316.0,248.0,224.0
106,106,2020,Tadej Pogačar,Primoz Roglic,Richie Porte,Slovenia,UAE-Team Emirates,20,87hr 20min 5sec,3 days 15:20:05.000000000,314405.0,59.0,210.0,40.22,176,3484,21,2020-08-29,2020-09-20,Tadej Pogačar,Slovénie,Richard Carapaz,Colombie,Primož Roglič,Slovénie,82.0,74.0,67.0,Sam Bennett,Irlande,Peter Sagan,Slovaquie,Matteo Trentin,Italie,380.0,284.0,260.0
